Revenue,Expenses,Profit,Assets,Liabilities,Equity,MarketCap,Dividends,EarningsPerShare,PriceEarningsRatio,Beta,Volatility,DebtToEquityRatio,EconomicIndicator,MarketSentiment,GrossMargin,TotalProfit,ROI,ScenarioRevenue,NetIncome,IndustryROABenchmark,RevenueRank,EconomicGrowthRate,CustomerSatisfactionScore,CustomerIncomeGroup,pca-one,pca-two
304927.0,42121,49963,7403438,494722,9017187,88554112,6799,7.769425184078248,39.520498615311546,0.6960064104978041,0.1989148440780101,0.0548643385126647,0.4967141530112327,-0.6650348354818605,262806.0,12271563,0.0067486213837409,300989.85770649405,262806.0,0.0086240160613783,1.0,0.0134431228053855,6,Medium,-0.5085105005084632,-0.03981070911138869
897681.0,150587,-4866,2816719,590683,9815804,20679648,23857,-0.3656793175300947,33.41868124539586,2.4427709336879944,0.1308696762417225,0.060176731320226,-0.1382643011711846,-0.7908643193311995,747094.0,10228621,-0.0017275418669735,935705.6235788534,747094.0,0.0086377713795713,1.0,0.0176428875514333,10,Low,2.4353260332251256,0.14656599621463065
959342.0,100272,32131,8537891,946988,7466042,31326134,39852,9.402883472560235,48.65771532232614,2.3515417646614685,0.2526853275543165,0.1268393614715802,0.6476885381006925,0.2728604990872734,859070.0,9976726,0.0037633415558947,931847.9492245272,859070.0,0.0086474715956308,1.0,0.0106053675801401,8,Medium,2.8891291015516143,-1.125534196212863
426505.0,264419,96754,9220659,937615,981236,6410502,33634,5.119876537481504,16.718562872478728,0.7169614096704298,0.4910781135206825,0.9555448434423522,1.5230298564080254,0.4129514529738023,162086.0,10228621,0.0104931762469472,345828.44910186605,162086.0,0.0086377713795713,1.0,0.0311924491756409,3,High,-0.8439143983478042,-1.3010333714437103
462018.0,256246,69531,7543033,505234,1912518,59909374,49631,8.312452065785624,27.84291963833176,1.085014305673519,0.1171780323061979,0.2641721541967187,-0.2341533747233359,-0.936827710348716,205772.0,12271563,0.0092179100900128,514411.1188890642,205772.0,0.0086474715956308,1.0,0.0170554424241196,5,Medium,-0.34191900746570864,-0.7643347913541133
164315.0,75096,30295,5978139,758534,8419183,16508937,1780,4.480859640140109,5.147924158821848,1.0741462198112697,0.1261405792630147,0.0900959154825355,-0.2341369569491805,0.8724244924873796,89219.0,12271563,0.00506763057868,132142.99219622472,89219.0,0.0086474715956308,1.0,0.0345275554512618,7,Low,-1.610177160650675,-0.21415382793982082
522120.0,223462,98862,7513326,256590,5875201,81732093,44372,0.3843348228796834,17.2756255024729,1.3640854631051642,0.4761285807385451,0.043673399429228,1.5792128155073917,-0.8960574326970552,298658.0,11945424,0.013158220473862,576815.1806609487,298658.0,0.0086240160613783,1.0,0.035287478505409,1,Medium,0.28686959396962564,0.48648859989804083
621753.0,429728,64167,5444882,867359,3375609,97976434,29309,1.991091468083555,19.19464101781812,0.5387610646854579,0.4688740142411908,0.2569488942587841,0.7674347291529088,0.0825926706021409,192025.0,10228621,0.0117848283948118,719568.2995704986,192025.0,0.0086240160613783,1.0,0.0191895403527825,7,High,0.021505529144397406,-0.6448808316346363
231358.0,237484,34537,9770626,786690,6711726,51284178,32831,9.684085137578563,44.88718256056009,1.187111814705379,0.0704661944091743,0.1172112806750454,-0.4694743859349521,0.4181210389018328,-6126.0,9976726,0.0035347786313794,225142.79138237808,-6126.0,0.0086377713795713,1.0,0.0099155126745265,8,Medium,-1.6574335144620835,-1.20672148615135
19255.0,211858,67566,324821,673719,1695433,24222729,37619,3.9588054466237534,18.12887515341751,2.202222147040005,0.0531263902673915,0.3973728245232928,0.5425600435859647,0.7419382474921712,-192603.0,10228621,0.2080099500955911,19528.74812779924,-192603.0,0.0086474715956308,1.0,-0.0008589787773333,8,High,-2.755823768233893,1.8295838141765122
956824.0,395483,47197,4579384,93792,7943770,48026498,15057,-7.37874844110896,14.190497688082694,1.233631118464742,0.295968707488204,0.0118069883695021,-0.4634176928124622,0.4281738642648556,561341.0,10228621,0.0103064080234372,948014.8630631976,561341.0,0.0086474715956308,1.0,0.005279629269732,9,High,1.9014042254670256,0.14361982802710896
23643.0,53354,97225,5800274,852877,8017283,41550187,17576,-7.334680491684686,20.00602195017856,1.0856845544476836,0.2014543167230606,0.1063798047293578,-0.4657297535702568,0.6034561661395836,-29711.0,12271563,0.0167621391679082,22595.223748045584,-29711.0,0.0086474715956308,1.0,0.0062616517510133,6,Medium,-2.169471156107864,0.2904374133123349
735192.0,371370,15206,1462370,59941,2865974,21521554,14711,7.990941597417827,25.81642880749328,1.4294929082887886,0.3939993581424975,0.0209147047391218,0.2419622715660341,-0.3210996149143879,363822.0,10228621,0.010398189240753,849124.5676032024,363822.0,0.0086474715956308,1.0,0.033784696274615,6,High,0.8217070441992368,0.4582778353093926
387830.0,416088,94426,6277797,164848,1976690,67937082,27131,0.6731795343234168,39.86151081874032,1.7591044896952477,0.379565237270311,0.0833959801486323,-1.913280244657798,0.6296502274930245,-28258.0,10228621,0.0150412636789625,448941.693377257,-28258.0,0.0086240160613783,1.0,0.0211582458722694,2,High,-1.2140932295359164,0.8726147902650789
185790.0,39624,21286,5317000,441483,712841,62026309,40730,6.904068847111855,33.355105901836296,1.4225884786841032,0.1672096704276604,0.619328854541195,-1.7249178325130328,-0.8397703072306497,146166.0,12271563,0.0040033853676885,173588.52895470028,146166.0,0.0086377713795713,1.0,0.0238960452409198,3,Low,-1.1894692150227677,-0.12347268156543206
